filepath,filename,partition,label,size_bytes,mod_time,mod_datetime,md5,is_corrupted,width,height,mode,format,aspect_ratio,phash,mean_brightness,std_brightness
c:/Github/BDC2026\train\2_Organic\O_4539.jpg,O_4539.jpg,train,2_Organic,8809,1604328412.0,2020-11-02 21:46:52,082d2d27d61756340027f67e7a5a5943,False,284,177,RGB,JPEG,1.6045197740112995,b2ce8de19c68b531,126.58426169067134,48.518968045242865
c:/Github/BDC2026\test\892.jpg,892.jpg,test,,8809,1782752596.0,2026-06-30 00:03:16,082d2d27d61756340027f67e7a5a5943,False,284,177,RGB,JPEG,1.6045197740112995,b2ce8de19c68b531,126.58426169067134,48.518968045242865
c:/Github/BDC2026\train\2_Organic\O_4749.jpg,O_4749.jpg,train,2_Organic,5153,1604328412.0,2020-11-02 21:46:52,0c3c0f17509a1a2d768dcf8b2ab7b04a,False,190,265,RGB,JPEG,0.7169811320754716,bf96e0c89960c799,190.1598344918901,52.299510949788356
c:/Github/BDC2026\test\855.jpg,855.jpg,test,,5153,1782752596.0,2026-06-30 00:03:16,0c3c0f17509a1a2d768dcf8b2ab7b04a,False,190,265,RGB,JPEG,0.7169811320754716,bf96e0c89960c799,190.1598344918901,52.299510949788356
c:/Github/BDC2026\train\2_Organic\O_4512.jpg,O_4512.jpg,train,2_Organic,13917,1604328410.0,2020-11-02 21:46:50,0d0efe6599b139cbe3900e64ffb4f2bf,False,275,183,RGB,JPEG,1.5027322404371584,e6de1c4acd19512b,119.35030965391621,73.80155013761804
c:/Github/BDC2026\test\305.jpg,305.jpg,test,,13917,1782752596.0,2026-06-30 00:03:16,0d0efe6599b139cbe3900e64ffb4f2bf,False,275,183,RGB,JPEG,1.5027322404371584,e6de1c4acd19512b,119.35030965391621,73.80155013761804
c:/Github/BDC2026\train\2_Organic\O_4664.jpg,O_4664.jpg,train,2_Organic,9201,1604328412.0,2020-11-02 21:46:52,0ef9bb847ef49ddfda08ea8761f43121,False,300,168,RGB,JPEG,1.7857142857142858,d8557eaaa41f12e4,112.65603174603176,77.18313312154392
c:/Github/BDC2026\test\457.jpg,457.jpg,test,,9201,1782752596.0,2026-06-30 00:03:16,0ef9bb847ef49ddfda08ea8761f43121,False,300,168,RGB,JPEG,1.7857142857142858,d8557eaaa41f12e4,112.65603174603176,77.18313312154392
c:/Github/BDC2026\train\2_Organic\O_4649.jpg,O_4649.jpg,train,2_Organic,7767,1604328412.0,2020-11-02 21:46:52,0f415e657b3ab99201e4aac98ed20d5f,False,259,194,RGB,JPEG,1.3350515463917525,f0cf5a5962b264d4,116.99041383062001,70.89440184654099
c:/Github/BDC2026\test\1082.jpg,1082.jpg,test,,7767,1782752596.0,2026-06-30 00:03:16,0f415e657b3ab99201e4aac98ed20d5f,False,259,194,RGB,JPEG,1.3350515463917525,f0cf5a5962b264d4,116.99041383062001,70.89440184654099
c:/Github/BDC2026\train\2_Organic\O_4480.jpg,O_4480.jpg,train,2_Organic,11139,1604328410.0,2020-11-02 21:46:50,1002e9df0eb1c2b7154bb19ef9c85a8a,False,259,194,RGB,JPEG,1.3350515463917525,b78a37710cf2ac8c,158.9443139752418,61.69631318266397
c:/Github/BDC2026\test\813.jpg,813.jpg,test,,11139,1782752596.0,2026-06-30 00:03:16,1002e9df0eb1c2b7154bb19ef9c85a8a,False,259,194,RGB,JPEG,1.3350515463917525,b78a37710cf2ac8c,158.9443139752418,61.69631318266397
