filepath,filename,partition,label,size_bytes,mod_time,mod_datetime,md5,is_corrupted,width,height,mode,format,aspect_ratio,phash,mean_brightness,std_brightness,outlier_reason
c:/Github/BDC2026\train\0_Recyclable\R_1039.jpg,R_1039.jpg,train,0_Recyclable,23729,1782418948.0,2026-06-26 03:22:28,ad1f03579125c6ca8506fff0ade940d8,False,299,169,RGB,JPEG,1.7692307692307692,d05e68bbd09aca8e,135.4366890291768,96.61609945750826,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_1094.jpg,R_1094.jpg,train,0_Recyclable,29041,1782418950.0,2026-06-26 03:22:30,df88eea5c250b44ee3eb38247e0a2b72,False,281,179,RGB,JPEG,1.5698324022346368,81c4426e6f6ae72b,112.45102951019571,97.57686046536419,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_140.jpg,R_140.jpg,train,0_Recyclable,29281,1782418950.0,2026-06-26 03:22:30,9ad7ec112923bc2254197d4c44a2feee,False,299,168,RGB,JPEG,1.7797619047619047,b79105f61c435e2b,129.3343287147635,91.01959176335423,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_1522.jpg,R_1522.jpg,train,0_Recyclable,22452,1604328416.0,2020-11-02 21:46:56,58e3b36435a2c242e104e6882d7b1693,False,266,190,RGB,JPEG,1.4,bfdd406bd8053c92,106.00581717451523,67.91656624497077,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_1802.jpg,R_1802.jpg,train,0_Recyclable,24128,1604328418.0,2020-11-02 21:46:58,91917e248d7790c26285aec59c44a071,False,225,225,RGB,JPEG,1.0,bbe0c893e897e01e,161.6303209876543,70.59669062289133,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_193.jpg,R_193.jpg,train,0_Recyclable,28574,1782418954.0,2026-06-26 03:22:34,a385d03cb83f376a1d228f979f2eb2cb,False,183,275,RGB,JPEG,0.6654545454545454,c4cf77a3be30140e,119.43172048352376,92.4407786029085,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_211.jpg,R_211.jpg,train,0_Recyclable,23760,1782418954.0,2026-06-26 03:22:34,0d7704c52b3f385ccad8ecda40cf2313,False,275,183,RGB,JPEG,1.5027322404371584,ce98f0c340578bed,114.62472594800464,92.36725584224148,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_243.jpg,R_243.jpg,train,0_Recyclable,22371,1782418956.0,2026-06-26 03:22:36,71b6baece90a81f936af1b6e6e0597d2,False,269,188,RGB,JPEG,1.4308510638297873,9ad53ea4932ee261,145.07825146985155,96.87494950868476,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_2572.jpg,R_2572.jpg,train,0_Recyclable,32295,1782418956.0,2026-06-26 03:22:36,0ede8f32817d3dad3341ec4d3cf477b7,False,340,148,RGB,JPEG,2.2972972972972974,b3b54f603f70a84c,150.10990328563858,101.82854225190952,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_2853.jpg,R_2853.jpg,train,0_Recyclable,24165,1782418958.0,2026-06-26 03:22:38,360dbd3fe556f82c8392dcf8a4641d44,False,259,194,RGB,JPEG,1.3350515463917525,aa33dae80bb5c994,184.26528148177633,79.24567280172894,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_2857.jpg,R_2857.jpg,train,0_Recyclable,28982,1782418958.0,2026-06-26 03:22:38,759666b66890cc02d6ef2dd80284143e,False,300,168,RGB,JPEG,1.7857142857142858,a3612bae4bb6e314,162.00047619047618,98.8710283038893,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_2866.jpg,R_2866.jpg,train,0_Recyclable,22891,1782418958.0,2026-06-26 03:22:38,8efc48bcee8a03639d94ba92e0ccd0ad,False,277,182,RGB,JPEG,1.521978021978022,c2adfa52bcc25689,200.38177887094855,79.11171897679546,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_2867.jpg,R_2867.jpg,train,0_Recyclable,23815,1782418958.0,2026-06-26 03:22:38,23357f38062a7dec13b0ea3a42904cf0,False,183,275,RGB,JPEG,0.6654545454545454,9a615e7c815c633e,153.65504884914722,111.18545533028475,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_2913.jpg,R_2913.jpg,train,0_Recyclable,25373,1782418958.0,2026-06-26 03:22:38,d0073670f7ce1c5941e725ba620203fd,False,300,168,RGB,JPEG,1.7857142857142858,f0a7df8492dc9911,161.21666005291004,109.25457210289854,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_2924.jpg,R_2924.jpg,train,0_Recyclable,28514,1782418958.0,2026-06-26 03:22:38,a8add7b00c96d79d2d3062bd39dc9634,False,183,276,RGB,JPEG,0.6630434782608695,bbb0cdc7263830e9,168.35154826958106,105.28418777101031,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_2967.jpg,R_2967.jpg,train,0_Recyclable,28960,1782418958.0,2026-06-26 03:22:38,64d2dd76e7d09b43063e714d2114ba83,False,301,167,RGB,JPEG,1.8023952095808384,c787c5f2f61c1720,146.61583809125935,105.39143437740798,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_2983.jpg,R_2983.jpg,train,0_Recyclable,24543,1782418958.0,2026-06-26 03:22:38,f210fb373440ac5cd8295d0ed2841ef4,False,194,260,RGB,JPEG,0.7461538461538462,aa6a3a3a3a6a7a62,191.76215305313244,68.16628010724487,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_2989.jpg,R_2989.jpg,train,0_Recyclable,27915,1782418958.0,2026-06-26 03:22:38,93d64750f60176d274a5410796b8184e,False,275,183,RGB,JPEG,1.5027322404371584,ea6f5c10c1ccf98c,179.2808345752608,99.11972518030974,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_2991.jpg,R_2991.jpg,train,0_Recyclable,25190,1782418958.0,2026-06-26 03:22:38,342b236069011961359c93fe21a637eb,False,191,264,RGB,JPEG,0.7234848484848485,c31ebc7aae0cf818,168.1831865778201,80.73303806608294,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_2994.jpg,R_2994.jpg,train,0_Recyclable,26355,1782418958.0,2026-06-26 03:22:38,bc8852229eb17b7b23e0431a0ab6755e,False,293,172,RGB,JPEG,1.7034883720930232,9d619f16393ec20e,169.35637087599545,98.0369642063939,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_3015.jpg,R_3015.jpg,train,0_Recyclable,23317,1782418958.0,2026-06-26 03:22:38,e4c77c224d28041c50c35d634c6d44d2,False,205,246,RGB,JPEG,0.8333333333333334,db66b888d489ad55,183.24531033115213,78.92418220734893,"size_bytes out of range [-5365.00, 22051.00]"
c:/Github/BDC2026\train\0_Recyclable\R_3032.jpg,R_3032.jpg,train,0_Recyclable,27006,1782418958.0,2026-06-26 03:22:38,52fd26c942bd32ccd5fc435fd069420f,False,180,281,RGB,JPEG,0.6405693950177936,be36d2929636dac0,169.08078291814945,101.57673716164824,"size_bytes out of range [-5365.00, 22051.00]"
