filepath,filename,partition,label,size_bytes,mod_time,mod_datetime,md5,is_corrupted,width,height,mode,format,aspect_ratio,phash,mean_brightness,std_brightness
c:/Github/BDC2026\train\0_Recyclable\R_8715.jpg,R_8715.jpg,train,0_Recyclable,2881,1604328424.0,2020-11-02 21:47:04,02b6ec5bc7c76efed16027bea19fd211,False,225,225,RGB,JPEG,1.0,b324ce9b89cec613,245.8128,27.371666311239228
c:/Github/BDC2026\train\0_Recyclable\R_9275.jpg,R_9275.jpg,train,0_Recyclable,2881,1604328424.0,2020-11-02 21:47:04,02b6ec5bc7c76efed16027bea19fd211,False,225,225,RGB,JPEG,1.0,b324ce9b89cec613,245.8128,27.371666311239228
c:/Github/BDC2026\train\2_Organic\O_1500.jpg,O_1500.jpg,train,2_Organic,9765,1604328408.0,2020-11-02 21:46:48,04063326bce08045d6a668c788cea105,False,280,180,RGB,JPEG,1.5555555555555556,be99c458d16f1aa4,163.48964285714285,88.64641619443357
c:/Github/BDC2026\train\2_Organic\O_473.jpg,O_473.jpg,train,2_Organic,9765,1604328412.0,2020-11-02 21:46:52,04063326bce08045d6a668c788cea105,False,280,180,RGB,JPEG,1.5555555555555556,be99c458d16f1aa4,163.48964285714285,88.64641619443357
c:/Github/BDC2026\train\2_Organic\O_4539.jpg,O_4539.jpg,train,2_Organic,8809,1604328412.0,2020-11-02 21:46:52,082d2d27d61756340027f67e7a5a5943,False,284,177,RGB,JPEG,1.6045197740112995,b2ce8de19c68b531,126.58426169067134,48.518968045242865
c:/Github/BDC2026\test\892.jpg,892.jpg,test,,8809,1782752596.0,2026-06-30 00:03:16,082d2d27d61756340027f67e7a5a5943,False,284,177,RGB,JPEG,1.6045197740112995,b2ce8de19c68b531,126.58426169067134,48.518968045242865
c:/Github/BDC2026\train\0_Recyclable\R_8486.jpg,R_8486.jpg,train,0_Recyclable,2245,1604328424.0,2020-11-02 21:47:04,08a364c3cede63a2273820590b06498e,False,225,225,RGB,JPEG,1.0,e564ce9a9b313331,246.88029629629628,26.80678574448113
c:/Github/BDC2026\train\0_Recyclable\R_9205.jpg,R_9205.jpg,train,0_Recyclable,2245,1604328424.0,2020-11-02 21:47:04,08a364c3cede63a2273820590b06498e,False,225,225,RGB,JPEG,1.0,e564ce9a9b313331,246.88029629629628,26.80678574448113
c:/Github/BDC2026\train\1_Electronic\Printer_63.jpg,Printer_63.jpg,train,1_Electronic,2928,1781617536.0,2026-06-16 20:45:36,0bdb9da68380941bb62cef41c49e468f,False,150,150,RGB,JPEG,1.0,bc47c31c1893276f,229.9269185185185,45.54885719195758
c:/Github/BDC2026\train\1_Electronic\Printer_64.jpg,Printer_64.jpg,train,1_Electronic,2928,1781617536.0,2026-06-16 20:45:36,0bdb9da68380941bb62cef41c49e468f,False,150,150,RGB,JPEG,1.0,bc47c31c1893276f,229.9269185185185,45.54885719195758
