Rank,CNN,EVA,SigLIP,DINOv2,Relabel_Matches,Relabel_Agree_Pct,Sub2_Matches,Sub2_Agree_Pct,Sub1_Matches,Sub1_Agree_Pct,Changed_vs_Sub2,Distribution
1,0.15,0.1,0.55,0.2,1439,98.70%,1457,99.93%,1434,98.35%,1,521/200/737
2,0.2,0.0,0.6,0.2,1439,98.70%,1457,99.93%,1434,98.35%,1,521/200/737
3,0.2,0.05,0.55,0.2,1439,98.70%,1457,99.93%,1434,98.35%,1,521/200/737
4,0.2,0.1,0.5,0.2,1439,98.70%,1457,99.93%,1434,98.35%,1,521/200/737
5,0.2,0.15,0.45,0.2,1439,98.70%,1457,99.93%,1434,98.35%,1,521/200/737
6,0.25,0.0,0.55,0.2,1439,98.70%,1457,99.93%,1434,98.35%,1,521/200/737
7,0.25,0.05,0.5,0.2,1439,98.70%,1457,99.93%,1434,98.35%,1,521/200/737
8,0.25,0.1,0.45,0.2,1439,98.70%,1457,99.93%,1434,98.35%,1,521/200/737
9,0.25,0.15,0.4,0.2,1439,98.70%,1457,99.93%,1434,98.35%,1,521/200/737
10,0.0,0.05,0.75,0.2,1439,98.70%,1455,99.79%,1434,98.35%,3,521/200/737
11,0.05,0.0,0.75,0.2,1439,98.70%,1455,99.79%,1434,98.35%,3,521/200/737
12,0.0,0.0,0.8,0.2,1439,98.70%,1453,99.66%,1434,98.35%,5,521/200/737
13,0.1,0.25,0.5,0.15,1438,98.63%,1458,100.00%,1433,98.29%,0,520/200/738
14,0.15,0.15,0.5,0.2,1438,98.63%,1458,100.00%,1433,98.29%,0,520/200/738
15,0.15,0.15,0.55,0.15,1438,98.63%,1458,100.00%,1433,98.29%,0,520/200/738
16,0.15,0.2,0.5,0.15,1438,98.63%,1458,100.00%,1433,98.29%,0,520/200/738
17,0.15,0.25,0.45,0.15,1438,98.63%,1458,100.00%,1433,98.29%,0,520/200/738
18,0.15,0.3,0.4,0.15,1438,98.63%,1458,100.00%,1433,98.29%,0,520/200/738
19,0.2,0.2,0.45,0.15,1438,98.63%,1458,100.00%,1433,98.29%,0,520/200/738
20,0.2,0.25,0.4,0.15,1438,98.63%,1458,100.00%,1433,98.29%,0,520/200/738
21,0.2,0.3,0.35,0.15,1438,98.63%,1458,100.00%,1433,98.29%,0,520/200/738
22,0.2,0.35,0.3,0.15,1438,98.63%,1458,100.00%,1433,98.29%,0,520/200/738
23,0.25,0.2,0.35,0.2,1438,98.63%,1458,100.00%,1433,98.29%,0,520/200/738
24,0.25,0.25,0.35,0.15,1438,98.63%,1458,100.00%,1433,98.29%,0,520/200/738
25,0.25,0.3,0.3,0.15,1438,98.63%,1458,100.00%,1433,98.29%,0,520/200/738
26,0.25,0.35,0.25,0.15,1438,98.63%,1458,100.00%,1433,98.29%,0,520/200/738
27,0.25,0.4,0.2,0.15,1438,98.63%,1458,100.00%,1433,98.29%,0,520/200/738
28,0.3,0.25,0.3,0.15,1438,98.63%,1458,100.00%,1433,98.29%,0,520/200/738
29,0.3,0.3,0.25,0.15,1438,98.63%,1458,100.00%,1433,98.29%,0,520/200/738
30,0.3,0.35,0.2,0.15,1438,98.63%,1458,100.00%,1433,98.29%,0,520/200/738
31,0.3,0.4,0.15,0.15,1438,98.63%,1458,100.00%,1433,98.29%,0,520/200/738
32,0.3,0.45,0.1,0.15,1438,98.63%,1458,100.00%,1433,98.29%,0,520/200/738
33,0.35,0.3,0.2,0.15,1438,98.63%,1458,100.00%,1433,98.29%,0,520/200/738
34,0.35,0.35,0.15,0.15,1438,98.63%,1458,100.00%,1433,98.29%,0,520/200/738
35,0.05,0.05,0.7,0.2,1438,98.63%,1456,99.86%,1435,98.42%,2,520/200/738
36,0.05,0.1,0.65,0.2,1438,98.63%,1456,99.86%,1435,98.42%,2,520/200/738
37,0.1,0.0,0.7,0.2,1438,98.63%,1456,99.86%,1435,98.42%,2,520/200/738
38,0.1,0.05,0.65,0.2,1438,98.63%,1456,99.86%,1435,98.42%,2,520/200/738
39,0.1,0.1,0.6,0.2,1438,98.63%,1456,99.86%,1435,98.42%,2,520/200/738
40,0.15,0.0,0.65,0.2,1438,98.63%,1456,99.86%,1435,98.42%,2,520/200/738
41,0.15,0.05,0.6,0.2,1438,98.63%,1456,99.86%,1435,98.42%,2,520/200/738
42,0.3,0.05,0.45,0.2,1438,98.63%,1456,99.86%,1435,98.42%,2,520/200/738
43,0.3,0.1,0.4,0.2,1438,98.63%,1456,99.86%,1435,98.42%,2,520/200/738
44,0.3,0.15,0.35,0.2,1438,98.63%,1456,99.86%,1435,98.42%,2,520/200/738
45,0.35,0.2,0.25,0.2,1438,98.63%,1456,99.86%,1435,98.42%,2,520/200/738
46,0.25,0.0,0.6,0.15,1438,98.63%,1456,99.86%,1433,98.29%,2,520/200/738
47,0.0,0.0,0.75,0.25,1438,98.63%,1452,99.59%,1433,98.29%,6,520/201/737
48,0.1,0.15,0.6,0.15,1437,98.56%,1457,99.93%,1434,98.35%,1,519/200/739
49,0.1,0.2,0.55,0.15,1437,98.56%,1457,99.93%,1434,98.35%,1,519/200/739
50,0.3,0.2,0.3,0.2,1437,98.56%,1457,99.93%,1434,98.35%,1,519/200/739
